TABLA,Nombre,Tipo,Unidad,Valores,Valor por defecto,Restricciones,Descripción,Ejemplo

REPARTIDOR,Num_Repartidor,INT,Número,1 a 2147483647,AUTO_INCREMENT,"PK, NOT NULL",Identificador único del repartidor,"1, 2, 3..."
REPARTIDOR,Nombre,VARCHAR(50),Texto,Alfanumérico,-,NOT NULL,Nombre del repartidor,Carlos
REPARTIDOR,Apellido1,VARCHAR(50),Texto,Alfanumérico,-,NOT NULL,Primer apellido,García
REPARTIDOR,Apellido2,VARCHAR(50),Texto,Alfanumérico,NULL,-,Segundo apellido (opcional),López
REPARTIDOR,DNI,VARCHAR(9),Texto,8 dígitos + letra,-,"UNIQUE, NOT NULL",Documento de identidad español,12345678A
REPARTIDOR,Telefono,VARCHAR(15),Texto,Numérico con prefijo,NULL,-,Teléfono de contacto,+34 600123456
REPARTIDOR,Matricula_Moto,VARCHAR(10),Texto,Formato matrícula,NULL,-,Matrícula del vehículo asignado,1234ABC
REPARTIDOR,Turno,CHAR(1),Carácter,"M, T, N",-,"CHECK IN ('M','T','N'), NOT NULL","Turno de trabajo: Mañana, Tarde, Noche",M

INGREDIENTE,Cod_Ingrediente,INT,Número,1 a 2147483647,AUTO_INCREMENT,"PK, NOT NULL",Identificador único del ingrediente,"1, 2, 3..."
INGREDIENTE,Nombre,VARCHAR(100),Texto,Alfanumérico,-,"UNIQUE, NOT NULL",Nombre del ingrediente,Lechuga
INGREDIENTE,Alergeno,BOOLEAN,Booleano,"TRUE, FALSE",FALSE,NOT NULL,Indica si es un alérgeno,TRUE
INGREDIENTE,Tipo_Alergeno,VARCHAR(50),Texto,"Gluten, Lactosa, etc.",NULL,-,Tipo de alérgeno (NULL si no es alérgeno),Lactosa

PRODUCTO,Cod_Producto,INT,Número,1 a 2147483647,AUTO_INCREMENT,"PK, NOT NULL",Código único del producto,"1, 2, 3..."
PRODUCTO,Nombre,VARCHAR(100),Texto,Alfanumérico,-,NOT NULL,Nombre comercial del producto,Hamburguesa Doble
PRODUCTO,Precio,DECIMAL(6,2),Euros (€),0.01 a 9999.99,-,"CHECK > 0, NOT NULL",Precio unitario actual del producto,5.50

MENU,Cod_Menu,INT,Número,1 a 2147483647,AUTO_INCREMENT,"PK, NOT NULL",Código único del menú,"1, 2, 3..."
MENU,Nombre,VARCHAR(100),Texto,Alfanumérico,-,NOT NULL,Nombre comercial del menú,Menú Ahorro
MENU,Descripcion,TEXT,Texto,Alfanumérico,NULL,-,Descripción detallada de la oferta,Hamburguesa + Bebida + Patatas
MENU,Precio,DECIMAL(6,2),Euros (€),0.01 a 9999.99,-,"CHECK > 0, NOT NULL",Precio promocional del menú completo,6.90

PEDIDO,Num_Pedido,INT,Número,1 a 2147483647,AUTO_INCREMENT,"PK, NOT NULL",Número correlativo único de pedido,"1, 2, 3..."
PEDIDO,Fecha,DATE,Fecha,YYYY-MM-DD,-,NOT NULL,Fecha del pedido,2026-01-21
PEDIDO,Hora,TIME,Hora,HH:MM:SS,-,NOT NULL,Hora del pedido,14:30:00

PEDIDO_VENTANILLA,Num_Pedido,INT,Número,Referencia a PEDIDO,-,"PK, FK → PEDIDO, NOT NULL",Referencia al pedido base (relación 1:1),"1, 2, 3..."
PEDIDO_VENTANILLA,Num_Ventanilla,INT,Número,1 a 10,-,NOT NULL,Número de ventanilla donde se atendió,"1, 2, 3"

